trial_id,num_layers,best_num_layers,units_0,best_units_0,dropout_0,best_dropout_0,activation,best_activation,learning_rate,best_learning_rate,val_loss,best_val_loss,val_mae,best_val_mae,units_1,dropout_1,units_2,dropout_2
0077,3,1.0,64,32.0,0.5,0.2,tanh,relu,0.0001,0.01,0.004285335540771484,0.0024365363642573357,"MetricObservation(value=[0.06592702865600586], step=9)",0.04004983976483345,32.0,0.30000000000000004,128.0,0.4
0035,3,1.0,128,32.0,0.2,0.2,relu,relu,0.005,0.01,0.004642423242330551,0.0024365363642573357,"MetricObservation(value=[0.07804059237241745], step=1)",0.04004983976483345,32.0,0.1,96.0,0.30000000000000004
0058,3,1.0,32,32.0,0.4,0.2,sigmoid,relu,0.001,0.01,0.004705869592726231,0.0024365363642573357,"MetricObservation(value=[0.0657750591635704], step=2)",0.04004983976483345,128.0,0.30000000000000004,32.0,0.4
0006,2,1.0,128,32.0,0.2,0.2,sigmoid,relu,0.01,0.01,0.004789681639522314,0.0024365363642573357,"MetricObservation(value=[0.05725763738155365], step=1)",0.04004983976483345,64.0,0.30000000000000004,,
0016,1,1.0,32,32.0,0.1,0.2,sigmoid,relu,0.01,0.01,0.005000365898013115,0.0024365363642573357,"MetricObservation(value=[0.05281466245651245], step=1)",0.04004983976483345,,,,
0005,2,1.0,64,32.0,0.5,0.2,relu,relu,0.001,0.01,0.005307439714670181,0.0024365363642573357,"MetricObservation(value=[0.11128652840852737], step=1)",0.04004983976483345,32.0,0.30000000000000004,,
0003,3,1.0,96,32.0,0.30000000000000004,0.2,tanh,relu,0.001,0.01,0.005391363054513931,0.0024365363642573357,"MetricObservation(value=[0.08022277057170868], step=1)",0.04004983976483345,64.0,0.2,32.0,0.1
0017,3,1.0,128,32.0,0.2,0.2,tanh,relu,0.001,0.01,0.005624400917440653,0.0024365363642573357,"MetricObservation(value=[0.07400978356599808], step=1)",0.04004983976483345,96.0,0.2,32.0,0.2
0013,3,1.0,32,32.0,0.1,0.2,sigmoid,relu,0.001,0.01,0.006058620288968086,0.0024365363642573357,"MetricObservation(value=[0.07317224889993668], step=1)",0.04004983976483345,96.0,0.4,64.0,0.2
0009,3,1.0,128,32.0,0.30000000000000004,0.2,relu,relu,0.001,0.01,0.006159569136798382,0.0024365363642573357,"MetricObservation(value=[0.07666902989149094], step=1)",0.04004983976483345,128.0,0.2,128.0,0.4
0014,3,1.0,32,32.0,0.5,0.2,relu,relu,0.0005,0.01,0.006161589175462723,0.0024365363642573357,"MetricObservation(value=[0.1156066358089447], step=1)",0.04004983976483345,96.0,0.2,96.0,0.5
0024,2,1.0,96,32.0,0.2,0.2,tanh,relu,0.0005,0.01,0.006586804054677486,0.0024365363642573357,"MetricObservation(value=[0.08060292154550552], step=1)",0.04004983976483345,128.0,0.2,,
0002,2,1.0,32,32.0,0.4,0.2,sigmoid,relu,0.001,0.01,0.00731641473248601,0.0024365363642573357,"MetricObservation(value=[0.11548976600170135], step=1)",0.04004983976483345,32.0,0.5,,
0023,2,1.0,128,32.0,0.2,0.2,relu,relu,0.0001,0.01,0.008189024403691292,0.0024365363642573357,"MetricObservation(value=[0.15598736703395844], step=1)",0.04004983976483345,128.0,0.30000000000000004,,
0004,2,1.0,32,32.0,0.2,0.2,relu,relu,0.0005,0.01,0.009922398254275322,0.0024365363642573357,"MetricObservation(value=[0.28916606307029724], step=0)",0.04004983976483345,32.0,0.5,,
0028,3,1.0,64,32.0,0.4,0.2,sigmoid,relu,0.0005,0.01,0.010044898837804794,0.0024365363642573357,"MetricObservation(value=[0.14745301008224487], step=1)",0.04004983976483345,64.0,0.4,32.0,0.30000000000000004
0033,3,1.0,96,32.0,0.1,0.2,sigmoid,relu,0.0005,0.01,0.010602384805679321,0.0024365363642573357,"MetricObservation(value=[0.0929642766714096], step=1)",0.04004983976483345,128.0,0.4,32.0,0.30000000000000004
0060,1,1.0,128,32.0,0.2,0.2,tanh,relu,0.0001,0.01,0.012057991698384285,0.0024365363642573357,"MetricObservation(value=[0.11758995056152344], step=3)",0.04004983976483345,,,,
0052,1,1.0,32,32.0,0.1,0.2,tanh,relu,0.0005,0.01,0.012096431106328964,0.0024365363642573357,"MetricObservation(value=[0.10768050700426102], step=3)",0.04004983976483345,,,,
0018,3,1.0,96,32.0,0.5,0.2,relu,relu,0.0001,0.01,0.015625914558768272,0.0024365363642573357,"MetricObservation(value=[0.1614767462015152], step=1)",0.04004983976483345,128.0,0.30000000000000004,96.0,0.2
0059,3,1.0,128,32.0,0.1,0.2,tanh,relu,0.0001,0.01,0.016175003722310066,0.0024365363642573357,"MetricObservation(value=[0.12253725528717041], step=3)",0.04004983976483345,32.0,0.4,128.0,0.2
0029,1,1.0,64,32.0,0.5,0.2,tanh,relu,0.0005,0.01,0.016241278499364853,0.0024365363642573357,"MetricObservation(value=[0.14574013650417328], step=1)",0.04004983976483345,,,,
0001,2,1.0,96,32.0,0.4,0.2,sigmoid,relu,0.0005,0.01,0.018530575558543205,0.0024365363642573357,"MetricObservation(value=[0.16198530793190002], step=1)",0.04004983976483345,32.0,0.1,,
0066,1,1.0,32,32.0,0.30000000000000004,0.2,sigmoid,relu,0.0005,0.01,0.038073163479566574,0.0024365363642573357,"MetricObservation(value=[0.185394287109375], step=3)",0.04004983976483345,,,,
0007,1,1.0,32,32.0,0.2,0.2,sigmoid,relu,0.0005,0.01,0.054600123316049576,0.0024365363642573357,"MetricObservation(value=[0.21258032321929932], step=1)",0.04004983976483345,,,,
0012,1,1.0,128,32.0,0.5,0.2,sigmoid,relu,0.0001,0.01,0.06351149827241898,0.0024365363642573357,"MetricObservation(value=[0.22535984218120575], step=1)",0.04004983976483345,,,,
0015,1,1.0,96,32.0,0.4,0.2,sigmoid,relu,0.0001,0.01,0.06747348606586456,0.0024365363642573357,"MetricObservation(value=[0.2330356389284134], step=1)",0.04004983976483345,,,,
0022,3,1.0,64,32.0,0.30000000000000004,0.2,tanh,relu,0.0001,0.01,0.0716501772403717,0.0024365363642573357,"MetricObservation(value=[0.3360966742038727], step=1)",0.04004983976483345,64.0,0.30000000000000004,128.0,0.30000000000000004
0026,1,1.0,64,32.0,0.2,0.2,sigmoid,relu,0.0001,0.01,0.07624325156211853,0.0024365363642573357,"MetricObservation(value=[0.24867038428783417], step=1)",0.04004983976483345,,,,
0010,2,1.0,32,32.0,0.2,0.2,tanh,relu,0.0001,0.01,0.08742230385541916,0.0024365363642573357,"MetricObservation(value=[0.3124251067638397], step=1)",0.04004983976483345,96.0,0.5,,
0011,2,1.0,32,32.0,0.30000000000000004,0.2,tanh,relu,0.0001,0.01,0.15505582094192505,0.0024365363642573357,"MetricObservation(value=[0.3890904188156128], step=1)",0.04004983976483345,64.0,0.2,,
0062,1,1.0,32,32.0,0.4,0.2,tanh,relu,0.0001,0.01,0.20206891000270844,0.0024365363642573357,"MetricObservation(value=[0.4078146517276764], step=3)",0.04004983976483345,,,,
best_model_hyperParameter,1,,32,,0.2,,relu,,0.01,,0.0024365363642573357,,,,,,,
